id;nome_revendedora;rua;numero;bairro;cidade;estado;cep;status
75;Tainá Ribeiro;Avenida Tiradentes;3590;Zona 01;Maringá;PR;87013-143;Ativa
76;Simone Nascimento;Avenida Brasil;5149;Centro;Cascavel;PR;85801-263;Ativa
77;Luciana Fernandes;Rua Paraná;3927;Centro;Cascavel;PR;85801-308;Ativa
78;Vitória Almeida;Avenida Manoel Ribas;1207;Mercês;Curitiba;PR;80810-976;Em prospecção
79;Isabela Lima;Rua Imaculada Conceição;5327;Prado Velho;Curitiba;PR;80215-956;Ativa
80;Fernanda Souza;Rua Padre Anchieta;2402;Bigorrilho;Curitiba;PR;80730-843;Inativa
81;Patrícia Mendes;Avenida Brasil;1532;Zona 01;Maringá;PR;87013-815;Ativa
82;Bruna Rodrigues;Rua Saldanha Marinho;5824;Centro;Guarapuava;PR;85010-548;Ativa
83;Cláudia Rodrigues;Rua Konrad Adenauer;3144;Tarumã;Curitiba;PR;82821-563;Em prospecção
84;Débora Nascimento;Avenida Brasil;374;Centro;Foz do Iguaçu;PR;85851-246;Ativa
85;Cristiane Ribeiro;Avenida Higienópolis;907;Centro;Londrina;PR;86020-213;Ativa
86;Tatiane Pereira;Rua Engenheiro Ostoja Roguski;2800;Jardim Botânico;Curitiba;PR;80210-845;Ativa
87;Raquel Moraes;Rua Engenheiro Ostoja Roguski;3928;Jardim Botânico;Curitiba;PR;80210-919;Ativa
88;Daniela Silva;Avenida Paraná;4186;Centro;Foz do Iguaçu;PR;85852-801;Ativa
89;Larissa Monteiro;Avenida Sete de Setembro;2377;Rebouças;Curitiba;PR;80230-842;Ativa
90;Bianca Cardoso;Avenida das Torres;2028;São José dos Pinhais;São José dos Pinhais;PR;83005-094;Ativa
91;Paula Rocha;Avenida Presidente Kennedy;5356;Portão;Curitiba;PR;80610-214;Em prospecção
92;Elisângela Rocha;Rua Saldanha Marinho;4155;Centro;Guarapuava;PR;85010-152;Ativa
93;Daniela Nascimento;Rua Izabel A Redentora;4166;Centro;São José dos Pinhais;PR;83005-484;Ativa
94;Luciana Martins;Rua XV de Novembro;1904;Centro;São José dos Pinhais;PR;83005-432;Ativa
95;Simone Vieira;Rua Mateus Leme;2496;São Francisco;Curitiba;PR;80510-715;Ativa
96;Elaine Vieira;Rua XV de Novembro;1815;Centro;São José dos Pinhais;PR;83005-809;Inativa
97;Vanessa Martins;Avenida Ayrton Senna da Silva;2387;Gleba Palhano;Londrina;PR;86050-965;Ativa
98;Aline Teixeira;Avenida Sete de Setembro;1079;Rebouças;Curitiba;PR;80230-468;Ativa
99;Tainá Fernandes;Rua Brigadeiro Franco;3387;Centro;Curitiba;PR;80250-801;Ativa
100;Cristiane Martins;Avenida Sete de Setembro;1605;Rebouças;Curitiba;PR;80230-625;Em prospecção
101;Renata Teixeira;Rua Professor Pedro Viriato Parigot de Souza;5072;Mossunguê;Curitiba;PR;81200-638;Ativa
102;Cláudia Barbosa;Avenida Rui Barbosa;2702;Afonso Pena;São José dos Pinhais;PR;83045-800;Ativa
103;Tatiane Costa;Rua Professor Pedro Viriato Parigot de Souza;4593;Mossunguê;Curitiba;PR;81200-206;Ativa
104;Kelly Correia;Rua Ermelino de Leão;2050;Olarias;Ponta Grossa;PR;84035-166;Ativa
105;Ana Lopes;Rua Saldanha Marinho;3497;Centro;Guarapuava;PR;85010-875;Ativa
106;Patrícia Lima;Rua XV de Novembro;1048;Centro;São José dos Pinhais;PR;83005-483;Ativa
107;Cláudia Pereira;Rua Engenheiro Ostoja Roguski;5222;Jardim Botânico;Curitiba;PR;80210-278;Ativa
108;Michele Martins;Rua Pernambuco;5649;Centro;Londrina;PR;86020-690;Ativa
109;Juliana Rodrigues;Rua Barão do Rio Branco;3991;Centro;Cascavel;PR;85801-738;Em prospecção
110;Bianca Moreira;Rua XV de Novembro;5309;Centro;Guarapuava;PR;85010-062;Em prospecção
111;Maria Teixeira;Rua Pernambuco;878;Centro;Londrina;PR;86020-565;Ativa
112;Elaine Oliveira;Rua Balduíno Taques;3674;Centro;Ponta Grossa;PR;84010-413;Ativa
113;Gabriela Freitas;Rua Imaculada Conceição;3640;Prado Velho;Curitiba;PR;80215-717;Ativa
114;Carolina Rodrigues;Rua Engenheiro Ostoja Roguski;1943;Jardim Botânico;Curitiba;PR;80210-855;Ativa
115;Amanda Souza;Avenida Brasil;3215;Zona 01;Maringá;PR;87013-817;Ativa
116;Camila Cardoso;Avenida do Batel;4980;Batel;Curitiba;PR;80420-542;Ativa
117;Luciana Pereira;Avenida Brasil;5898;Centro;Foz do Iguaçu;PR;85851-489;Inativa
118;Maria Gomes;Rua Padre Anchieta;1160;Bigorrilho;Curitiba;PR;80730-859;Ativa
119;Bruna Ferreira;Rua Mateus Leme;358;São Francisco;Curitiba;PR;80510-636;Ativa
120;Michele Vieira;Avenida do Batel;1848;Batel;Curitiba;PR;80420-085;Ativa
121;Isabela Vieira;Avenida Sete de Setembro;3382;Rebouças;Curitiba;PR;80230-828;Ativa
122;Vitória Freitas;Avenida Vicente Machado;1655;Centro;Ponta Grossa;PR;84010-478;Ativa
123;Luciana Cardoso;Rua Brigadeiro Franco;3385;Centro;Curitiba;PR;80250-896;Ativa
124;Isabela Teixeira;Avenida Higienópolis;5127;Centro;Londrina;PR;86020-999;Ativa
125;Michele Santos;Avenida Brasil;1324;Centro;Cascavel;PR;85801-344;Ativa
126;Natália Oliveira;Rua Izabel A Redentora;3511;Centro;São José dos Pinhais;PR;83005-455;Ativa
127;Sabrina Pereira;Avenida Tiradentes;168;Zona 01;Maringá;PR;87013-995;Ativa
128;Amanda Moreira;Rua Padre Anchieta;4684;Bigorrilho;Curitiba;PR;80730-659;Ativa
129;Aline Costa;Rua Brigadeiro Franco;2170;Centro;Curitiba;PR;80250-269;Ativa
130;Tatiane Souza;Rua Professor Pedro Viriato Parigot de Souza;1982;Mossunguê;Curitiba;PR;81200-719;Ativa
131;Patrícia Lopes;Avenida Vicente Machado;4715;Centro;Ponta Grossa;PR;84010-727;Ativa
132;Carolina Moraes;Rua XV de Novembro;1449;Centro;São José dos Pinhais;PR;83005-396;Ativa
133;Vanessa Fernandes;Avenida Brasil;2442;Centro;Foz do Iguaçu;PR;85851-994;Ativa
134;Adriana Monteiro;Rua Konrad Adenauer;3381;Tarumã;Curitiba;PR;82821-188;Ativa
135;Mariana Castro;Avenida do Batel;4224;Batel;Curitiba;PR;80420-828;Ativa
136;Natália Teixeira;Avenida Sete de Setembro;4174;Rebouças;Curitiba;PR;80230-280;Ativa
137;Paula Alves;Rua Marechal Hermes;1462;Centro Cívico;Curitiba;PR;80530-393;Ativa
138;Cláudia Castro;Avenida das Cataratas;4212;Vila Yolanda;Foz do Iguaçu;PR;85853-317;Ativa
139;Cristiane Freitas;Rua Mateus Leme;944;São Francisco;Curitiba;PR;80510-371;Em prospecção
140;Gabriela Barbosa;Avenida Paraná;2960;Centro;Foz do Iguaçu;PR;85852-821;Ativa
141;Cláudia Carvalho;Avenida Higienópolis;425;Centro;Londrina;PR;86020-806;Em prospecção
142;Simone Alves;Avenida Brasil;442;Centro;Foz do Iguaçu;PR;85851-599;Em prospecção
143;Kelly Castro;Rua Marechal Hermes;2921;Centro Cívico;Curitiba;PR;80530-951;Ativa
144;Aline Barbosa;Avenida São Paulo;4271;Zona 01;Maringá;PR;87013-435;Em prospecção
145;Larissa Rodrigues;Avenida Brasil;73;Zona 01;Maringá;PR;87013-700;Ativa
146;Renata Correia;Rua Marechal Hermes;5477;Centro Cívico;Curitiba;PR;80530-651;Ativa
147;Isabela Correia;Rua Izabel A Redentora;1149;Centro;São José dos Pinhais;PR;83005-065;Em prospecção
148;Luciana Souza;Avenida das Torres;2222;São José dos Pinhais;São José dos Pinhais;PR;83005-628;Ativa
149;Sabrina Silva;Rua Marechal Hermes;1714;Centro Cívico;Curitiba;PR;80530-493;Ativa
150;Ana Rodrigues;Rua Barão do Rio Branco;1902;Centro;Cascavel;PR;85801-097;Ativa
151;Ana Fernandes;Avenida Brasil;4774;Centro;Cascavel;PR;85801-360;Em prospecção
152;Adriana Vieira;Rua Ermelino de Leão;5100;Olarias;Ponta Grossa;PR;84035-493;Ativa
153;Beatriz Fernandes;Avenida Manoel Ribas;3943;Mercês;Curitiba;PR;80810-325;Ativa
154;Kelly Lopes;Rua Mateus Leme;4409;São Francisco;Curitiba;PR;80510-247;Ativa
155;Vitória Pereira;Avenida das Torres;5566;São José dos Pinhais;São José dos Pinhais;PR;83005-223;Inativa
156;Simone Silva;Rua Izabel A Redentora;5914;Centro;São José dos Pinhais;PR;83005-096;Ativa
157;Aline Souza;Rua Itupava;2423;Alto da XV;Curitiba;PR;80040-386;Ativa
158;Carolina Monteiro;Rua XV de Novembro;1006;Centro;Curitiba;PR;80020-131;Ativa
159;Natália Freitas;Rua XV de Novembro;2369;Centro;São José dos Pinhais;PR;83005-938;Ativa
160;Bruna Lima;Rua Imaculada Conceição;1512;Prado Velho;Curitiba;PR;80215-323;Ativa
161;Larissa Fernandes;Avenida Higienópolis;4216;Centro;Londrina;PR;86020-313;Ativa
162;Luciana Correia;Avenida Vicente Machado;3976;Centro;Ponta Grossa;PR;84010-338;Ativa
163;Isabela Cardoso;Rua Padre Anchieta;3095;Bigorrilho;Curitiba;PR;80730-400;Ativa
164;Letícia Moreira;Rua Padre Anchieta;480;Bigorrilho;Curitiba;PR;80730-843;Ativa
165;Priscila Barbosa;Avenida Ayrton Senna da Silva;1871;Gleba Palhano;Londrina;PR;86050-212;Ativa
166;Mariana Monteiro;Rua XV de Novembro;956;Centro;Guarapuava;PR;85010-851;Em prospecção
167;Camila Santos;Avenida Vicente Machado;3196;Centro;Ponta Grossa;PR;84010-205;Ativa
168;Rosana Ferreira;Rua Engenheiro Ostoja Roguski;1578;Jardim Botânico;Curitiba;PR;80210-339;Ativa
169;Fernanda Ribeiro;Avenida das Torres;3675;São José dos Pinhais;São José dos Pinhais;PR;83005-020;Ativa
170;Letícia Oliveira;Avenida Vicente Machado;2327;Centro;Ponta Grossa;PR;84010-335;Ativa
171;Luciana Nascimento;Rua Padre Anchieta;1794;Bigorrilho;Curitiba;PR;80730-891;Ativa
172;Cláudia Santos;Avenida Sete de Setembro;2404;Rebouças;Curitiba;PR;80230-113;Ativa
173;Daniela Ferreira;Rua Konrad Adenauer;967;Tarumã;Curitiba;PR;82821-169;Ativa
174;Tatiane Rodrigues;Avenida Presidente Kennedy;3368;Portão;Curitiba;PR;80610-515;Ativa
175;Patrícia Cardoso;Avenida do Batel;701;Batel;Curitiba;PR;80420-797;Ativa
176;Vitória Nascimento;Rua XV de Novembro;4074;Centro;Guarapuava;PR;85010-284;Ativa
177;Amanda Moraes;Rua Pernambuco;2669;Centro;Londrina;PR;86020-359;Ativa
178;Fernanda Nascimento;Rua Itupava;4629;Alto da XV;Curitiba;PR;80040-274;Ativa
179;Tatiane Oliveira;Avenida Ayrton Senna da Silva;950;Gleba Palhano;Londrina;PR;86050-381;Em prospecção
180;Beatriz Carvalho;Rua Barão do Rio Branco;3026;Centro;Cascavel;PR;85801-385;Ativa
181;Amanda Mendes;Avenida Presidente Kennedy;5496;Portão;Curitiba;PR;80610-272;Em prospecção
182;Amanda Vieira;Avenida Tiradentes;1789;Zona 01;Maringá;PR;87013-130;Ativa
183;Letícia Ribeiro;Avenida Manoel Ribas;1793;Centro;Guarapuava;PR;85010-886;Ativa
184;Vanessa Ribeiro;Rua XV de Novembro;2722;Centro;Guarapuava;PR;85010-046;Ativa
185;Vitória Barbosa;Rua Saldanha Marinho;3740;Centro;Guarapuava;PR;85010-656;Ativa
186;Gabriela Correia;Avenida Higienópolis;2144;Centro;Londrina;PR;86020-494;Ativa
187;Letícia Martins;Avenida Rui Barbosa;4409;Afonso Pena;São José dos Pinhais;PR;83045-577;Ativa
188;Kelly Gomes;Rua Barão do Rio Branco;2163;Centro;Cascavel;PR;85801-612;Ativa
189;Sabrina Cardoso;Rua Marechal Hermes;983;Centro Cívico;Curitiba;PR;80530-470;Ativa
190;Jéssica Barbosa;Avenida Brasil;917;Zona 01;Maringá;PR;87013-701;Ativa
191;Isabela Rocha;Rua XV de Novembro;5859;Centro;Guarapuava;PR;85010-507;Ativa
192;Isabela Martins;Rua Izabel A Redentora;3775;Centro;São José dos Pinhais;PR;83005-625;Ativa
193;Kelly Costa;Rua XV de Novembro;2434;Centro;São José dos Pinhais;PR;83005-984;Ativa
194;Letícia Vieira;Rua Paraná;3786;Centro;Cascavel;PR;85801-627;Ativa
195;Kelly Martins;Avenida Cândido de Abreu;5676;Centro Cívico;Curitiba;PR;80530-511;Ativa
196;Cristiane Moraes;Rua XV de Novembro;2411;Centro;Curitiba;PR;80020-331;Ativa
197;Cristiane Vieira;Rua Saldanha Marinho;4214;Centro;Guarapuava;PR;85010-372;Ativa
198;Maria Ferreira;Avenida Vicente Machado;3454;Centro;Ponta Grossa;PR;84010-236;Ativa
199;Sabrina Monteiro;Rua XV de Novembro;5840;Centro;São José dos Pinhais;PR;83005-829;Ativa
200;Elisângela Correia;Rua Imaculada Conceição;2080;Prado Velho;Curitiba;PR;80215-188;Ativa
